,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
80,Alghero,40.5589,8.3181,59.0,88,75,16.11,IT,1612698234
81,Itanagar,27.1,93.6167,73.4,49,20,3.44,IN,1612698087
82,Hithadhoo,-0.6,73.0833,82.49,73,60,13.22,MV,1612698234
83,Zarubino,42.63,131.0922,13.21,88,29,11.99,RU,1612698235
84,Wajima,37.4,136.9,37.87,76,97,12.64,JP,1612698235
85,Baker City,44.7749,-117.8344,39.2,45,1,24.16,US,1612697952
86,Acapulco de Juárez,16.8634,-99.8901,73.27,82,37,5.06,MX,1612698070
87,Lucea,18.451,-78.1736,73.4,78,20,2.3,JM,1612698236
88,Port Alfred,-33.5906,26.891,78.01,77,50,7.0,ZA,1612698236
89,Jiayuguan City,39.8167,98.3,32.7,68,100,5.46,CN,1612698237
90,Palencia,42.4167,-4.5,43.0,81,97,8.01,ES,1612698237
91,Chui,-33.6971,-53.4616,71.46,66,0,4.61,UY,1612698237
92,Saint George,37.1041,-113.5841,33.8,51,1,2.21,US,1612698238
93,Filingué,14.3521,3.3168,91.83,11,44,11.61,NE,1612698238
94,Ushuaia,-54.8,-68.3,48.2,76,20,9.22,AR,1612698177
95,Benghazi,32.1167,20.0667,68.83,45,100,17.11,LY,1612698056
96,Formosa,-26.1775,-58.1781,73.4,88,0,2.3,AR,1612698156
97,Esperance,-33.8667,121.9,64.4,82,90,17.27,AU,1612698239
98,Cherskiy,68.75,161.3,-2.92,77,1,2.08,RU,1612698239
99,Tommot,58.9564,126.2925,-20.25,82,36,1.74,RU,1612698240
100,Saint-Pierre,-21.3393,55.4781,89.6,58,20,10.36,RE,1612698240
101,Ritchie,-29.038,24.6028,84.2,45,20,4.61,ZA,1612698240
102,Ābyek,36.0667,50.55,46.4,93,90,4.61,IR,1612698240
103,Srandakan,-7.9386,110.2506,76.64,93,100,5.26,ID,1612698015
104,Kirakira,-10.4544,161.9205,79.02,80,98,6.22,SB,1612698241
105,Ust-Kuyga,70.0167,135.6,-29.13,81,22,4.12,RU,1612698241
106,Csurgó,46.2531,17.1006,53.01,100,90,11.5,HU,1612698242
107,Talcahuano,-36.7167,-73.1167,59.0,88,90,3.44,CL,1612698015
108,Hong Kong,22.2855,114.1577,72.0,59,0,9.82,HK,1612698103
109,Lieksa,63.3167,30.0167,19.44,96,99,11.92,FI,1612698242
110,Grand Gaube,-20.0064,57.6608,84.99,69,56,10.0,MU,1612698243
111,Saint-Augustin,51.226,-58.6502,26.83,94,100,21.47,CA,1612698243
112,Kassala,15.451,36.4,86.65,15,0,10.58,SD,1612698243
113,Atuona,-9.8,-139.0333,79.0,76,72,22.3,PF,1612698244
114,Maputo,-25.9653,32.5892,89.01,66,83,3.0,MZ,1612698206
115,Puerto Baquerizo Moreno,-0.9,-89.6,76.21,89,84,8.7,EC,1612698143
116,Orodara,10.9492,-4.9342,91.4,22,55,4.61,BF,1612698244
117,Tulsīpur,28.131,82.2973,59.52,49,0,3.11,NP,1612698244
118,Mossamedes,-15.1961,12.1522,78.8,61,75,12.66,AO,1612698245
119,Lebu,-37.6167,-73.65,58.68,89,61,2.75,CL,1612698245
120,Karasjok,69.4719,25.5112,24.8,74,75,21.85,NO,1612698245
121,Wakefield,53.6809,-1.499,35.01,90,100,4.0,GB,1612698245
122,Tautira,-17.7333,-149.15,77.0,69,0,3.44,PF,1612698246
123,Noshiro,40.2039,140.0242,28.4,74,75,11.5,JP,1612698246
124,Kruisfontein,-34.0033,24.7314,73.0,79,31,11.01,ZA,1612698246
125,Bayan,46.0833,127.4,-8.39,89,75,6.26,CN,1612698246
126,Aswān,24.0934,32.907,81.66,23,0,11.18,EG,1612698247
127,Nikolskoye,59.7035,30.7861,18.0,85,75,15.66,RU,1612698247
128,Avarua,-21.2078,-159.775,77.0,94,40,5.75,CK,1612698247
129,São Filipe,14.8961,-24.4956,69.24,72,37,16.46,CV,1612698247
130,Praia da Vitória,38.7333,-27.0667,61.0,100,75,16.22,PT,1612698248
131,Sena Madureira,-9.0656,-68.6569,74.57,93,100,0.65,BR,1612698248
132,Vila do Maio,15.1333,-23.2167,71.6,53,75,25.32,CV,1612698248
133,Cândido Mendes,-1.4467,-45.7167,82.45,76,31,6.11,BR,1612698249
134,Beloha,-25.1667,45.05,87.37,58,73,10.85,MG,1612698249
135,Upernavik,72.7868,-56.1549,21.7,81,100,5.39,GL,1612698249
136,Lapeer,43.0514,-83.3188,10.4,79,90,5.75,US,1612698250
137,Abaza,52.655,90.0928,31.8,94,85,2.53,RU,1612698250
138,Shilka,51.85,116.0333,-11.27,85,0,2.82,RU,1612698250
139,Constitución,-35.3333,-72.4167,59.4,85,36,1.9,CL,1612698250
140,Mar del Plata,-38.0023,-57.5575,66.2,72,90,16.11,AR,1612698251
141,Road Town,18.4167,-64.6167,77.0,69,40,13.8,VG,1612698170
142,Sobolevo,54.4299,31.8996,8.82,93,9,9.62,RU,1612698251
143,Cabatuan,10.8794,122.486,76.71,86,63,13.42,PH,1612698251
144,Walvis Bay,-22.9575,14.5053,71.6,68,35,11.5,NA,1612698252
145,Carutapera,-1.195,-46.02,84.04,70,36,7.74,BR,1612698252
146,Ilulissat,69.2167,-51.1,26.6,36,0,28.77,GL,1612698252
147,Hilo,19.7297,-155.09,66.2,63,90,6.91,US,1612698253
148,Hasaki,35.7333,140.8333,50.0,43,40,8.05,JP,1612697956
149,College,64.8569,-147.8028,-2.2,71,90,1.9,US,1612698253
150,Karwar,14.8,74.1333,83.39,47,0,7.76,IN,1612698254
