,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
369,Kokoda,-8.8785,147.7407,76.89,69,100,1.1,PG,1612780139
370,Mpulungu,-8.7623,31.1141,78.73,67,93,1.92,ZM,1612780139
371,Launceston,-41.45,147.1667,60.01,51,40,12.66,AU,1612780139
372,Pasni,25.2631,63.471,72.34,42,1,12.64,PK,1612780139
373,Barra da Estiva,-13.6261,-41.3269,65.05,100,100,3.31,BR,1612780139
374,Taoudenni,22.6783,-3.9836,68.36,24,0,9.35,ML,1612780140
375,Koceljeva,44.4736,19.8117,51.8,71,75,9.22,RS,1612780140
376,Nambour,-26.6333,152.95,78.01,84,5,1.99,AU,1612779872
377,Flinders,-34.5833,150.8552,68.0,86,89,1.01,AU,1612780017
378,Jaciara,-15.9653,-54.9683,67.44,73,52,0.47,BR,1612780140
379,Ābādān,30.3392,48.3043,69.8,60,0,11.5,IR,1612780141
380,Bestöbe,52.4994,73.0975,16.11,91,70,24.0,KZ,1612780141
381,Barreirinhas,-2.7469,-42.8264,77.68,89,69,4.88,BR,1612780141
382,Camaná,-16.6228,-72.7111,70.57,83,98,4.0,PE,1612780141
383,Saint-Pierre,-21.3393,55.4781,89.6,51,75,12.66,RE,1612780141
384,Helena,46.5927,-112.0361,7.0,77,40,4.09,US,1612780142
385,Dudinka,69.4058,86.1778,-17.63,88,96,8.72,RU,1612780142
386,Pangnirtung,66.1451,-65.7125,17.49,75,0,4.23,CA,1612780142
387,Nantucket,41.2835,-70.0995,26.6,74,1,21.85,US,1612780142
388,Pinega,64.7001,43.3936,-15.92,87,14,5.08,RU,1612780143
389,Canoinhas,-26.1772,-50.39,54.37,88,0,0.67,BR,1612780143
390,Zapotiltic,19.6167,-103.4333,54.82,53,0,2.57,MX,1612780143
391,Nanortalik,60.1432,-45.2371,28.81,89,100,12.17,GL,1612780144
392,Seaforth,17.9358,-76.4573,78.8,73,75,10.36,JM,1612780144
393,Calama,-22.4667,-68.9333,50.0,76,0,14.97,CL,1612780144
394,Ostrołęka,53.0862,21.5757,15.01,67,100,11.99,PL,1612780144
395,Kralendijk,12.15,-68.2667,78.8,69,20,14.97,BQ,1612780048
396,Sobolevo,54.4299,31.8996,8.85,94,22,4.12,RU,1612780145
397,Aklavik,68.2191,-135.0107,-31.0,68,100,5.75,CA,1612780145
398,Vila,42.0304,-8.1588,46.0,95,100,18.01,PT,1612780145
399,Itaquitinga,-7.6678,-35.1017,80.6,69,40,6.91,BR,1612780145
400,Kristiansund,63.1115,7.732,24.8,54,20,3.44,NO,1612780145
401,Yatou,37.15,122.3833,30.67,88,12,10.0,CN,1612780146
402,Nangomba,-10.9,38.5,86.92,62,62,4.94,TZ,1612780146
403,Bariloche,-41.1456,-71.3082,57.2,62,90,5.75,AR,1612780033
404,Porto-Novo,6.4965,2.6036,86.0,74,40,11.5,BJ,1612780146
405,Fairbanks,64.8378,-147.7164,-27.4,67,1,3.67,US,1612780065
406,Bethel,41.3712,-73.414,16.0,53,1,4.61,US,1612780147
407,Vicuña,-30.0319,-70.7081,55.4,88,0,2.3,CL,1612780147
408,Abū Zabad,12.35,29.25,83.91,15,10,17.56,SD,1612780147
409,Yar-Sale,66.8333,70.8333,-7.04,90,100,7.87,RU,1612780147
410,Hofn,64.2539,-15.2082,35.6,75,90,9.22,IS,1612780147
411,Makakilo City,21.3469,-158.0858,66.2,72,1,4.83,US,1612780080
412,Port Macquarie,-31.4333,152.9167,69.01,84,15,10.42,AU,1612780148
413,Rapu-Rapu,13.1866,124.1256,77.41,88,100,18.3,PH,1612780148
414,Metapán,14.3333,-89.45,66.42,85,90,4.38,SV,1612780148
415,Bayir,37.2687,28.2167,68.0,55,75,17.27,TR,1612780148
416,North Platte,41.1239,-100.7654,-14.8,76,20,3.44,US,1612780149
417,Padang,-0.9492,100.3543,87.8,62,40,4.61,ID,1612779943
418,Guarapari,-20.6667,-40.4975,69.8,94,90,2.3,BR,1612780149
419,Mahanoro,-19.9,48.8,87.35,63,73,13.8,MG,1612780149
420,Itamaracá,-7.7478,-34.8256,80.6,69,40,6.91,BR,1612780149
421,Uglekamensk,43.2172,133.2303,2.86,89,27,3.58,RU,1612780150
422,Salé,34.0389,-6.8166,61.0,77,75,18.41,MA,1612780150
423,North Bend,43.4065,-124.2243,39.99,93,90,4.61,US,1612780150
424,Khani,41.9563,42.9566,66.2,42,0,13.8,GE,1612780150
425,Taitung City,22.7583,121.1444,68.0,88,75,13.8,TW,1612780150
426,Mount Gambier,-37.8333,140.7667,57.2,77,45,12.66,AU,1612780150
427,Cockburn Town,21.4612,-71.1419,77.07,80,25,18.77,TC,1612780151
428,Vardø,70.3705,31.1107,23.0,74,40,19.57,NO,1612780151
429,Līsakovsk,52.5369,62.4936,-3.26,86,88,21.07,KZ,1612780151
430,Nur-Sultan,51.1801,71.446,10.4,79,75,26.84,KZ,1612780144
431,Karratha,-20.7377,116.8463,82.67,62,2,16.82,AU,1612780151
432,Bogotol,56.2078,89.5342,27.28,96,80,10.89,RU,1612780152
433,Lusambo,-4.9667,23.45,90.43,44,98,3.98,CD,1612780152
434,Beringovskiy,63.05,179.3167,3.27,94,100,9.53,RU,1612780152
435,Makkah al Mukarramah,21.4267,39.8261,85.3,16,0,10.6,SA,1612779968
436,Katobu,-4.9408,122.5276,81.0,79,89,5.68,ID,1612780152
437,Umm Bāb,25.2142,50.8072,78.01,41,40,13.8,QA,1612780153
438,Aswān,24.0934,32.907,83.16,17,0,14.99,EG,1612780153
439,Baykit,61.67,96.37,12.4,92,98,5.55,RU,1612780153
440,Alofi,-19.0595,-169.9187,77.0,100,75,3.44,NU,1612780153
441,Ahipara,-35.1667,173.1667,63.1,87,96,6.8,NZ,1612780153
442,Salinas,36.6777,-121.6555,46.4,93,1,2.1,US,1612780154
443,Northampton,40.8754,-75.2499,12.0,80,5,3.98,US,1612780154
444,Zabaykal'sk,49.6333,117.3167,1.89,90,1,5.21,RU,1612780154
445,Khovd,48.0056,91.6419,21.63,79,79,2.68,MN,1612780154
446,Gemeente Woerden,52.0833,4.8833,24.01,88,100,11.01,NL,1612780154
447,Grong,64.4654,12.3149,3.2,85,40,16.11,NO,1612780155
448,Salalah,17.0151,54.0924,80.6,54,0,13.8,OM,1612780017
449,Sālūr,18.5333,83.2167,87.78,15,72,4.99,IN,1612780155
450,Tarko-Sale,64.9225,77.785,-1.16,93,48,9.89,RU,1612780155
451,Almaznyy,48.0448,40.045,17.6,86,75,8.95,RU,1612780155
452,Capreol,46.706,-80.9225,-4.0,77,90,5.75,CA,1612780156
453,Neuquén,-38.9516,-68.0591,60.8,63,0,11.5,AR,1612780041
454,Tefé,-3.3542,-64.7114,72.23,97,93,1.41,BR,1612780156
455,Niksar,40.5917,36.9517,62.6,36,75,2.3,TR,1612780156
456,Shawnee,39.05,-95.7669,8.01,78,90,6.91,US,1612780157
457,Acapulco de Juárez,16.8634,-99.8901,73.08,83,1,3.29,MX,1612780117
458,Ugoofaaru,5.6667,73.0,81.97,73,22,13.11,MV,1612780157
459,Benguela,-12.5763,13.4055,81.84,63,97,8.86,AO,1612780157
460,Srednekolymsk,67.45,153.6833,1.09,83,77,11.14,RU,1612780157
461,Conakry,9.538,-13.6773,82.4,74,0,6.91,GN,1612779877
462,Mēga,4.05,38.3,77.83,33,98,15.82,ET,1612780158
463,Qasigiannguit,68.8193,-51.1922,23.0,39,0,34.52,GL,1612780158
464,Lavrentiya,65.5833,-171.0,-5.15,85,90,14.56,RU,1612780159
465,Omsukchan,62.5333,155.8,0.45,88,93,4.52,RU,1612780159
466,Sechura,-5.5569,-80.8222,73.72,71,97,12.1,PE,1612780159
467,Olafsvik,64.8945,-23.7142,35.46,80,85,14.61,IS,1612780159
468,Umba,66.6871,34.3429,15.64,93,27,9.86,RU,1612780160
469,Sanjwal,33.7608,72.4336,72.0,33,73,4.0,PK,1612780160
470,Ukiah,39.1502,-123.2078,42.01,87,1,0.94,US,1612780160
471,Mehamn,71.0357,27.8492,24.8,63,40,24.16,NO,1612780161
472,New Waterford,40.8451,-80.6145,9.0,60,92,1.5,US,1612780161
473,Marabba,12.35,32.1833,86.79,16,49,11.36,SD,1612780161
474,Ust-Nera,64.5667,143.2,-8.88,79,99,8.68,RU,1612780162
475,Kitob,39.0843,66.8332,55.4,58,75,13.8,UZ,1612780162
476,Ilhabela,-23.7781,-45.3581,72.39,79,76,1.99,BR,1612780152
477,Manaure,11.7751,-72.4445,75.69,80,80,13.56,CO,1612780162
478,Rafrāf,37.1904,10.1837,60.8,72,40,13.8,TN,1612780163
479,Irtyshskiy,58.3333,68.1333,-1.84,87,36,7.72,RU,1612780164
480,Sibu,2.3,111.8167,82.4,83,40,6.91,MY,1612780164
481,Saldanha,-33.0117,17.9442,80.6,47,0,18.41,ZA,1612780165
482,Sārangarh,21.6,83.0833,83.66,15,0,5.5,IN,1612780165
483,Matamoros,25.5333,-103.25,55.0,32,100,1.7,MX,1612780166
484,Kropotkin,45.4375,40.5756,27.39,98,100,12.35,RU,1612780167
485,Hergla,36.0303,10.509,64.4,42,0,11.5,TN,1612780167
486,Luau,-10.7073,22.2247,71.6,87,95,7.56,AO,1612780167
487,San Patricio,28.017,-97.5169,57.2,94,90,9.22,US,1612780168
488,Batagay,67.6333,134.6333,-30.1,83,75,2.33,RU,1612780168
489,Udangudi,8.4333,78.0167,89.6,43,20,11.5,IN,1612780169
490,Ratnagiri,16.9833,73.3,89.06,27,21,9.6,IN,1612780169
491,Lensk,60.7253,114.9278,16.75,95,100,1.7,RU,1612780169
492,Lodja,-3.4833,23.4333,92.48,36,98,4.23,CD,1612780169
493,São Miguel do Araguaia,-13.275,-50.1628,68.95,99,95,3.91,BR,1612780170
494,Cabedelo,-6.9811,-34.8339,78.8,89,20,9.35,BR,1612780104
495,Matagami,49.7502,-77.6328,-23.8,76,1,3.44,CA,1612780170
496,Alépé,5.5004,-3.6631,84.2,84,75,10.36,CI,1612780171
497,Vysokogornyy,50.1167,139.15,-9.02,88,100,6.8,RU,1612780171
498,Esim,4.8699,-2.2405,84.13,76,54,8.46,GH,1612780171
499,Östersund,63.1792,14.6357,15.8,86,20,3.44,SE,1612780172
500,Tahlequah,35.9154,-94.97,36.0,93,90,8.05,US,1612780172
501,Mnogovershinnyy,53.9353,139.9242,-1.62,93,100,9.42,RU,1612780172
502,Passage West,51.8739,-8.3444,35.01,75,90,18.41,IE,1612780172
503,Gariāband,20.635,82.0614,82.4,30,9,5.75,IN,1612780173
504,Batagay-Alyta,67.8006,130.4114,-19.64,78,75,0.54,RU,1612780173
